year,Flags,Symbols,Objects,Activities,TravelPlaces,FoodDrink,AnimalsNature,PeopleBody,SmileysEmotion
1995,0,48,6,4,10,0,0,3,5
2000,0,50,6,4,10,0,0,3,5
2002,0,58,6,4,10,0,0,3,5
2003,0,62,7,4,12,1,0,3,5
2005,0,67,14,4,13,1,1,3,5
2008,0,69,14,5,14,1,1,3,5
2009,0,75,15,11,28,1,1,3,5
2010,251,194,155,47,158,62,83,102,93
2012,251,194,155,47,158,62,83,102,106
2014,251,200,195,47,194,64,88,112,112
2015,251,202,195,55,197,71,92,113,122
2016,253,205,196,62,201,91,101,241,130
2017,256,205,201,64,202,104,107,270,140
2018,257,206,220,75,205,111,117,292,146
2019,257,218,235,78,211,120,124,311,149